vector,latency,accuracy,mem
"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0.5141012668609619,0.22467082738876343,2117.5
"[0, 0, 0, 0, 0, 0, 0, 0, 1]",0.5398881435394287,0.21884961426258087,2131.1
"[0, 0, 0, 0, 0, 0, 0, 1, 0]",0.5182123184204102,0.2170478105545044,2143.9
"[0, 0, 0, 0, 0, 0, 0, 1, 1]",0.5148124694824219,0.23007622361183167,2139.5
"[0, 0, 0, 0, 0, 0, 1, 0, 0]",0.49045491218566895,0.2225918173789978,2135.9
"[0, 0, 0, 0, 0, 0, 1, 0, 1]",0.5168359279632568,0.2321552336215973,2135.9
"[0, 0, 0, 0, 0, 0, 1, 1, 0]",0.5386674404144287,0.21774081885814667,2115.1
"[0, 0, 0, 0, 0, 0, 1, 1, 1]",0.5392551422119141,0.8264726400375366,2123.1
"[0, 0, 0, 0, 0, 1, 0, 0, 0]",0.5356183052062988,0.22674982249736786,2067.5
"[0, 0, 0, 0, 0, 1, 0, 0, 1]",0.5144860744476318,0.22730422019958496,2063.9
"[0, 0, 0, 0, 0, 1, 0, 1, 0]",0.517486572265625,0.22744283080101013,2067.5
"[0, 0, 0, 0, 0, 1, 0, 1, 1]",0.5310568809509277,0.2321552336215973,2008.3
"[0, 0, 0, 0, 0, 1, 1, 0, 0]",0.5195403099060059,0.22134442627429962,2051.1
"[0, 0, 0, 0, 0, 1, 1, 0, 1]",0.5697586536407471,0.21995842456817627,1993.4
"[0, 0, 0, 0, 0, 1, 1, 1, 0]",0.5221967697143555,0.21774081885814667,2053.9
"[0, 0, 0, 0, 0, 1, 1, 1, 1]",0.5259249210357666,0.8533610701560974,2041.1
"[0, 0, 0, 0, 0, 2, 0, 0, 0]",0.5161011219024658,0.22273042798042297,2063.9
"[0, 0, 0, 0, 0, 2, 0, 0, 1]",0.5083928108215332,0.22550243139266968,2062.7
"[0, 0, 0, 0, 0, 2, 0, 1, 0]",0.5272910594940186,0.22245322167873383,2067.5
"[0, 0, 0, 0, 0, 2, 0, 1, 1]",0.5149409770965576,0.2343728393316269,2053.9
"[0, 0, 0, 0, 0, 2, 1, 0, 0]",0.547598123550415,0.22023561596870422,2070.7
"[0, 0, 0, 0, 0, 2, 1, 0, 1]",0.5376455783843994,0.22286902368068695,2067.5
"[0, 0, 0, 0, 0, 2, 1, 1, 0]",0.5118169784545898,0.21496881544589996,2082.7
"[0, 0, 0, 0, 0, 2, 1, 1, 1]",0.5381155014038086,0.8583506345748901,2041.1
"[0, 0, 0, 0, 0, 3, 0, 0, 0]",0.5394947528839111,0.2253638207912445,2053.1
"[0, 0, 0, 0, 0, 3, 0, 0, 1]",0.5325541496276855,0.2292446345090866,2051.1
"[0, 0, 0, 0, 0, 3, 0, 1, 0]",0.5380287170410156,0.22855162620544434,2041.1
"[0, 0, 0, 0, 0, 3, 0, 1, 1]",0.5776214599609375,0.2327096313238144,2051.1
"[0, 0, 0, 0, 0, 3, 1, 0, 0]",0.5142743587493896,0.2198198139667511,2078.7
"[0, 0, 0, 0, 0, 3, 1, 0, 1]",0.5571901798248291,0.2141372114419937,2040.3
"[0, 0, 0, 0, 0, 3, 1, 1, 0]",0.5122876167297363,0.21940401196479797,1979.5
"[0, 0, 0, 0, 0, 3, 1, 1, 1]",0.5177121162414551,0.8022176027297974,2067.5
"[0, 0, 0, 0, 0, 4, 0, 0, 0]",0.5045690536499023,0.2231462299823761,2029.5
"[0, 0, 0, 0, 0, 4, 0, 0, 1]",0.5427651405334473,0.2259182184934616,2035.5
"[0, 0, 0, 0, 0, 4, 0, 1, 0]",0.5126171112060547,0.22785863280296326,1997.1
"[0, 0, 0, 0, 0, 4, 0, 1, 1]",0.5483267307281494,0.2320166379213333,2067.5
"[0, 0, 0, 0, 0, 4, 1, 0, 0]",0.5659019947052002,0.21857242286205292,2043.1
"[0, 0, 0, 0, 0, 4, 1, 0, 1]",0.5780863761901855,0.21801802515983582,2048.3
"[0, 0, 0, 0, 0, 4, 1, 1, 0]",0.5089175701141357,0.21787941455841064,2067.5
"[0, 0, 0, 0, 0, 4, 1, 1, 1]",0.5351471900939941,0.7983368039131165,2011.5
"[0, 0, 0, 0, 1, 0, 0, 0, 0]",0.4723660945892334,0.21732501685619354,2123.1
"[0, 0, 0, 0, 1, 0, 0, 0, 1]",0.5479066371917725,0.22176022827625275,2135.9
"[0, 0, 0, 0, 1, 0, 0, 1, 0]",0.5136194229125977,0.22162161767482758,2117.5
"[0, 0, 0, 0, 1, 0, 0, 1, 1]",0.488201379776001,0.22023561596870422,2143.9
"[0, 0, 0, 0, 1, 0, 1, 0, 0]",0.49010777473449707,0.22217601537704468,2139.5
"[0, 0, 0, 0, 1, 0, 1, 0, 1]",0.5222105979919434,0.21801802515983582,2125.9
"[0, 0, 0, 0, 1, 0, 1, 1, 0]",0.4933485984802246,0.23118503391742706,2143.9
"[0, 0, 0, 0, 1, 0, 1, 1, 1]",0.5110235214233398,0.8285516500473022,2113.1
"[0, 0, 0, 0, 1, 1, 0, 0, 0]",0.5173864364624023,0.22411642968654633,2053.9
"[0, 0, 0, 0, 1, 1, 0, 0, 1]",0.505012035369873,0.22577962279319763,2053.9
"[0, 0, 0, 0, 1, 1, 0, 1, 0]",0.5204193592071533,0.22300761938095093,2050.3
"[0, 0, 0, 0, 1, 1, 0, 1, 1]",0.5154902935028076,0.2382536381483078,2067.5
"[0, 0, 0, 0, 1, 1, 1, 0, 0]",0.5470016002655029,0.21898822486400604,2067.5
"[0, 0, 0, 0, 1, 1, 1, 0, 1]",0.5157902240753174,0.21884961426258087,2011.5
"[0, 0, 0, 0, 1, 1, 1, 1, 0]",0.5346918106079102,0.2220374196767807,2062.7
"[0, 0, 0, 0, 1, 1, 1, 1, 1]",0.5390584468841553,0.8626472353935242,2067.5
"[0, 0, 0, 0, 1, 2, 0, 0, 0]",0.5459854602813721,0.22772002220153809,2037.5
"[0, 0, 0, 0, 1, 2, 0, 0, 1]",0.5147337913513184,0.22896742820739746,2050.3
"[0, 0, 0, 0, 1, 2, 0, 1, 0]",0.5481269359588623,0.21843381226062775,2067.5
"[0, 0, 0, 0, 1, 2, 0, 1, 1]",0.5732958316802979,0.2415800392627716,2035.5
"[0, 0, 0, 0, 1, 2, 1, 0, 0]",0.5167312622070312,0.21995842456817627,2035.5
"[0, 0, 0, 0, 1, 2, 1, 0, 1]",0.5217804908752441,0.21677061915397644,2037.5
"[0, 0, 0, 0, 1, 2, 1, 1, 0]",0.5202336311340332,0.22508662939071655,2063.9
"[0, 0, 0, 0, 1, 2, 1, 1, 1]",0.5649609565734863,0.8148302435874939,2056.3
"[0, 0, 0, 0, 1, 3, 0, 0, 0]",0.5042319297790527,0.227027028799057,2053.1
"[0, 0, 0, 0, 1, 3, 0, 0, 1]",0.5195999145507812,0.22785863280296326,1997.1
"[0, 0, 0, 0, 1, 3, 0, 1, 0]",0.5228190422058105,0.22494801878929138,2063.9
"[0, 0, 0, 0, 1, 3, 0, 1, 1]",0.5163190364837646,0.23950104415416718,2067.5
"[0, 0, 0, 0, 1, 3, 1, 0, 0]",0.5841708183288574,0.22051282227039337,2040.3
"[0, 0, 0, 0, 1, 3, 1, 0, 1]",0.5323784351348877,0.22508662939071655,2062.7
