accuracy,latency,memory
19.006172,264.19968,4701.8325
22.948637,116.710365,1658.6753
28.85041,72.8035,689.7381
22.842375,123.222786,1717.7311
19.089735,265.77344,4708.499
22.705496,120.40644,1712.1324
19.09233,259.20538,4591.614
19.131828,269.19525,4743.836
28.85019,72.77177,682.85504
19.117767,258.9272,4625.324
19.012999,271.13852,4794.907
28.948189,71.83145,689.7381
22.974022,114.62279,1659.4032
18.978235,271.1948,4743.7476
19.071882,269.8866,4813.7583
18.994385,263.62802,4752.5376
23.019354,113.92523,1630.0626
28.831972,72.8035,689.7381
22.829086,117.62683,1668.1609
22.93217,120.43165,1686.2247
28.846102,72.46781,689.7381
19.056555,245.13129,4508.2827
28.956131,68.95581,672.949
18.994104,273.27618,4834.47
28.948189,73.341545,689.7381
19.042831,265.86075,4751.327
28.927046,70.18784,678.1224
19.09324,267.284,4718.6284
19.102531,274.44653,4765.388
22.693815,119.69964,1716.3022
22.80473,117.84597,1684.9827
28.829628,72.92956,689.7381
19.097187,260.80994,4637.1147
22.87335,117.41132,1691.1766
19.07056,274.5627,4868.986
22.845049,115.49279,1636.3969
22.925287,119.99882,1703.4625
19.006367,271.9323,4817.1094
28.925512,69.60824,672.949
22.895689,122.534355,1715.85
28.925512,70.35983,678.1224
22.872997,119.01357,1690.4419
19.041039,270.52795,4817.229
22.938814,115.517815,1656.6216
28.896097,70.462654,682.85504
28.91743,69.29415,673.39655
28.85076,72.43609,689.7381
19.117767,257.5831,4502.26
28.91743,70.11224,673.39655
19.226896,258.58792,4599.617
28.846102,72.06924,689.7381
28.803558,71.61216,678.1224
19.071882,259.61618,4602.483
19.058765,268.43088,4806.7534
22.894833,115.49563,1652.8674
19.080158,265.683,4819.89
22.79049,119.001114,1707.2799
22.724808,122.29469,1713.4382
19.061424,264.29553,4736.3677
19.177662,262.9301,4587.0264
19.042013,274.00797,4642.916
22.779135,122.880714,1724.5436
22.832506,119.20399,1715.6117
19.155703,273.15576,4973.844
19.178627,263.8116,4694.0044
19.127708,264.1002,4700.673
28.959259,72.765526,689.7381
19.039663,263.85,4763.5493
22.940086,115.53956,1645.2847
28.812773,71.00923,678.56995
19.00076,268.8685,4729.6357
22.795872,119.971054,1683.7543
19.180244,270.99637,4814.1514
28.941986,70.003006,678.1224
22.838495,118.8899,1690.5168
19.249907,258.7372,4632.7544
28.805658,72.32141,672.949
28.83816,71.888336,678.56995
28.816303,71.92996,682.85504
19.025541,270.27032,4839.878
22.804276,124.82915,1712.9496
28.907074,68.62248,672.949
28.834286,70.46351,678.1224
19.025782,271.30664,4889.0303
28.867683,73.02244,689.7381
22.846788,120.92202,1711.0864
22.81101,118.93413,1684.4788
28.939657,69.6975,678.1224
28.942785,72.70166,689.7381
19.125334,257.96118,4641.2974
22.921711,119.04631,1720.2609
19.053576,269.5208,4665.4927
19.179018,265.31232,4697.7817
19.115025,266.53018,4712.4365
22.790892,120.159775,1663.1857
22.739273,119.74848,1690.3265
19.122547,252.95392,4469.05
28.951317,69.948074,673.39655
19.052471,246.48218,4532.7075
22.888096,118.67275,1719.9634
