accuracy,latency,memory
22.162006,14.48058,2172.0435
27.356693,9.81377,821.415
34.879536,8.913028,362.3899
34.893898,8.577477,356.33044
27.395933,10.107311,827.0966
27.433708,9.76307,821.3308
22.335772,14.314392,2156.412
27.23171,10.447765,844.4955
27.307228,9.812839,831.2763
22.170122,14.874356,2200.3281
22.003754,15.119961,2240.4138
27.292225,10.241698,837.89215
35.08384,8.082555,349.86584
27.293362,10.808976,860.7113
21.977442,15.505582,2199.9624
27.232418,10.19425,847.5102
21.979136,15.066137,2267.8052
35.074844,8.036631,349.86584
27.249548,10.443697,866.6225
35.02637,8.29304,355.0437
21.919472,15.611546,2315.3665
21.97157,15.944546,2297.636
27.387836,10.412904,838.07635
21.842264,15.2987175,2282.164
27.136198,10.548174,871.5828
27.343473,9.779301,828.21704
27.338654,9.834016,826.55023
22.311985,14.449364,2183.7058
22.1393,15.503037,2302.395
22.133045,14.442489,2200.4246
35.087692,8.145516,351.1526
22.162006,14.819502,2211.8015
22.16523,14.910249,2174.152
34.9152,8.882087,362.3899
22.011911,15.855147,2312.6672
27.273245,10.408163,859.01886
34.89659,8.568877,356.33044
21.908554,16.004465,2287.1865
27.129976,10.840485,878.0416
21.972914,15.517692,2295.0122
27.30875,10.415071,836.84717
21.925772,15.391831,2268.3325
34.961594,8.311701,349.86584
22.16523,14.432475,2213.292
34.912273,8.328356,351.1526
35.068157,8.154859,353.64572
35.0511,8.264711,355.0437
27.338583,10.670658,854.8129
21.977442,15.396725,2288.6165
34.879536,8.9823,362.3899
35.06379,8.0678625,351.1526
22.022173,14.905491,2246.4749
35.052353,8.635286,362.3899
35.10728,7.954772,349.7546
22.09243,15.546155,2261.2466
27.232431,10.75823,865.54767
21.901516,14.981203,2263.5686
27.27984,10.171771,845.0908
27.393415,10.353263,837.27716
34.95054,8.280962,351.1526
35.06379,8.145516,351.1526
22.021307,15.988938,2269.218
21.984417,14.999441,2243.2163
27.234299,10.350621,843.80756
27.45284,10.090353,824.1313
27.26659,10.414367,860.8448
21.90588,15.362493,2226.4453
22.056583,15.813935,2311.3813
22.105194,15.467965,2210.8955
22.052147,15.624058,2322.1492
34.888958,8.9823,362.3899
35.1041,8.029352,348.46786
27.41266,9.7286005,825.32214
34.889217,8.4571295,353.64572
21.965544,15.49671,2299.1338
34.913948,8.517727,355.0437
22.07393,14.583252,2212.6562
27.16424,10.566903,868.52356
27.45127,10.142852,816.5415
35.03799,8.588121,361.91534
21.896097,15.098612,2228.5083
35.1041,8.0469475,348.46786
22.003754,15.350863,2242.783
21.928446,15.612009,2333.7305
35.059162,8.266009,355.0437
34.9152,8.587645,356.33044
21.967052,15.113439,2213.3977
27.449451,10.074616,826.2931
27.24935,10.729896,868.97394
27.38237,10.444026,857.3343
21.93281,15.951367,2302.9976
22.170122,14.839356,2250.3694
22.167288,14.564206,2171.9937
27.278458,10.415071,843.80756
35.045288,8.326996,356.33044
22.129822,14.551619,2231.5544
22.16578,14.566336,2197.5664
27.391596,10.619958,861.7258
22.052147,14.908719,2214.6191
34.910954,8.872291,360.6684
35.042107,8.2407465,353.64572
22.133045,14.903328,2191.5664
35.01669,8.658375,362.3899
21.928282,15.396074,2259.8958
27.387407,9.740145,833.85394
27.190464,10.782075,868.2077
27.461588,10.128211,818.4345
21.903273,15.682039,2328.1226
27.369633,9.834016,833.8983
27.407364,9.81377,828.1555
34.93769,8.246712,349.86584
35.03105,8.346256,356.33044
35.06659,8.604094,363.63684
27.200268,10.326554,844.85266
21.928282,15.354293,2272.8633
27.375257,10.107311,832.95575
21.973804,14.997728,2255.3257
27.182922,10.176211,851.1083
34.94153,8.239429,349.7546
21.943336,16.0179,2267.4458
27.212175,10.832775,864.9371
34.964775,8.236614,351.1526
27.265911,10.1287365,839.8333
27.153189,10.416409,837.88904
34.89659,8.523708,354.93246
21.867273,15.899347,2356.9678
27.293575,10.703381,857.4942
34.93525,8.510595,355.0437
27.302502,10.094469,826.69714
27.247265,10.394645,838.8682
22.219734,14.840652,2201.9277
34.93525,8.422882,353.64572
35.06379,8.006685,351.1526
27.131489,10.115634,844.80005
27.226706,10.841247,870.4647
34.926254,8.558898,355.0437
22.326334,14.382438,2154.453
35.02611,8.358756,354.93246
27.473173,10.037844,827.7984
27.196333,10.19425,849.94415
34.900837,8.982332,363.63684
34.95121,8.246565,348.46786
35.0511,8.276354,355.0437
35.042107,8.588415,362.3899
34.964775,8.294102,351.1526
35.063408,8.258685,355.0437
22.245226,14.38941,2179.0588
27.421576,10.366768,836.2352
35.06379,8.1171875,351.1526
