accuracy,latency,memory
22.268883,14.184256,2129.4568
27.268904,9.796565,819.93085
34.86703,8.971451,361.8948
34.889175,8.554581,357.39313
27.355938,10.141558,817.7228
27.477673,9.819679,819.288
22.433561,14.26544,2091.1096
27.169088,10.598512,862.533
27.356844,9.800382,835.63983
22.131289,14.844158,2226.9673
22.02312,14.9067745,2223.262
27.241785,10.3362055,836.6075
35.0835,8.071718,348.48157
27.294643,10.891231,859.4708
22.044415,15.318205,2229.004
27.33038,10.105629,848.7308
21.946405,15.026385,2266.9255
35.07506,8.121098,349.39603
27.356102,10.403001,870.4123
35.03205,8.346602,356.10638
21.902567,15.65432,2329.0684
21.973694,15.795696,2277.105
27.420847,10.303767,824.7349
21.788073,15.429264,2237.5552
27.037085,10.644427,871.57794
27.414652,9.725078,828.50555
27.363518,9.732916,830.75287
22.325901,14.374533,2192.0337
22.068113,15.40489,2310.9766
22.193604,14.496699,2202.6057
35.08297,8.072445,352.21527
22.11226,14.904042,2198.3032
22.199657,14.976209,2182.8752
34.88577,8.894509,361.8948
22.096891,16.091057,2294.1052
27.171856,10.439796,865.2748
34.8657,8.570533,357.39313
21.945963,15.873377,2300.9985
27.045658,10.797656,884.3543
21.938457,15.522395,2283.3413
27.344288,10.407987,831.21063
21.897768,15.464327,2299.9724
34.96181,8.3737135,350.92853
22.196033,14.42082,2225.267
34.914974,8.355715,352.21527
35.075565,8.058033,353.64572
35.050762,8.335073,354.57388
27.33445,10.570933,855.95306
21.977043,15.367242,2258.2493
34.86703,8.89558,363.5242
35.059067,8.042553,349.7683
22.003794,15.01739,2249.5513
35.022923,8.658001,361.8948
35.099754,7.934341,349.7546
22.091423,15.49283,2270.9229
27.23609,10.72212,853.503
21.876759,15.052246,2236.3997
27.232105,10.138183,835.5502
27.421173,10.509929,826.3103
34.945816,8.291191,350.68277
35.076626,8.127379,352.21527
21.903625,16.081905,2233.2087
22.013845,14.960056,2214.9302
27.190441,10.354188,848.1718
27.390133,10.071481,825.8207
27.45312,10.444436,861.5403
21.893824,15.395757,2202.8914
22.044918,15.91504,2286.0234
22.109013,15.386692,2174.4758
22.060818,15.565184,2327.1084
34.89658,8.893969,363.5242
35.104317,8.063986,348.46786
27.414,9.688023,821.4134
34.894897,8.452999,353.64572
21.9179,15.361695,2330.287
34.91361,8.701751,355.82535
22.085102,14.667749,2231.6902
27.08524,10.674924,879.95605
27.39343,10.173119,823.45953
35.049206,8.552359,361.91534
21.914152,15.000482,2206.5593
35.104317,8.061649,348.46786
21.998486,15.215303,2198.1865
21.94231,15.595111,2348.4148
35.067127,8.268278,356.10638
34.928036,8.532878,357.1121
21.967646,15.108777,2219.7593
27.458994,10.045363,821.2703
27.336876,10.885722,874.72125
27.462984,10.245981,864.56573
21.905823,15.863344,2303.4304
22.12353,14.977012,2255.6458
22.207745,14.494299,2151.919
27.265924,10.381558,838.827
35.05162,8.246546,354.94617
22.118559,14.57447,2220.0227
22.207457,14.478761,2198.3264
27.45189,10.57759,861.896
22.074404,15.049421,2223.204
34.91398,8.840805,361.8027
35.042324,8.3118725,353.64572
22.136461,14.811183,2208.4683
35.011627,8.591652,361.8948
21.909647,15.311363,2245.6206
27.478428,9.717343,821.4514
27.158064,10.849706,865.0033
27.384226,10.14947,825.0851
21.834942,15.7657175,2371.7031
27.292282,9.866125,828.0102
27.467424,9.845858,830.7975
34.93791,8.31234,350.92853
35.043888,8.24305,357.39313
35.059063,8.601867,363.63684
27.186325,10.294001,839.2159
21.916582,15.514616,2288.8977
27.313187,10.240187,840.2673
