accuracy,latency,memory
27.179325,206.86377,850.3501
35.262897,113.593,328.11145
21.600843,453.2169,2364.0923
35.02107,116.26222,333.47003
35.278934,114.78588,344.89536
27.414526,205.96915,848.6504
22.198492,430.76932,2159.9475
34.96446,122.57412,345.8937
35.062923,120.35885,343.05945
21.658154,446.45444,2307.422
35.402515,107.010506,321.893
21.607735,446.87234,2398.1472
21.491701,484.10284,2436.0806
21.820127,444.44302,2309.6436
35.249363,109.63096,321.06238
35.201004,114.83555,335.5599
35.094357,119.84869,342.4226
35.311104,121.24431,333.49374
27.352726,188.54726,820.5793
21.990242,424.2161,2277.7898
35.129322,113.79299,326.12445
35.252777,116.95627,332.36487
35.2755,114.48801,337.88773
35.188152,119.800606,345.7362
35.13467,119.982895,353.71014
27.330412,198.56892,818.11
21.964912,468.5157,2332.8557
21.994383,436.44818,2243.317
27.268581,195.60916,816.0417
34.96782,121.95,338.8998
35.03737,114.91977,325.35934
35.27147,112.42462,329.0001
21.792315,461.62482,2314.694
35.16624,113.303055,329.60272
27.230686,202.49248,805.9671
35.330547,122.67965,345.45773
27.126102,213.91008,858.54596
27.497684,189.27419,822.21533
35.100708,111.46141,325.6926
27.419363,193.33806,812.2506
27.143766,189.33762,820.34906
35.248425,108.73869,319.39148
35.107117,113.401215,328.78543
21.844162,466.13644,2273.1636
21.47582,486.01425,2372.4238
35.222733,122.63366,339.5129
21.903507,434.79855,2221.9739
27.42752,190.04985,821.6533
27.069984,201.72856,847.2438
35.074795,114.96851,325.93506
22.08566,419.37247,2189.2368
21.563179,442.0821,2349.9883
21.663353,449.7827,2350.5632
35.008984,123.218056,345.1802
27.180866,193.82565,841.9671
27.38682,207.388,841.5572
27.416555,199.90144,841.5601
21.89404,436.97064,2185.22
21.993994,433.5316,2246.243
21.799168,446.82605,2279.951
35.20569,110.98455,324.0666
21.85309,455.40082,2277.1077
27.311123,197.59409,835.1538
35.28913,117.191895,341.45227
27.304901,192.0409,833.2128
27.231312,196.58388,824.8945
35.244987,112.14549,324.7972
35.255825,113.4343,319.48602
35.20639,113.56922,331.0851
21.59259,458.57056,2365.7866
26.967594,208.26926,837.46216
22.040213,426.64572,2183.5098
27.392828,196.05104,800.9882
27.346285,195.78255,812.1589
35.312084,113.701904,335.9079
27.110216,212.03003,873.34375
27.26423,217.70915,861.6748
21.704004,450.946,2333.6816
27.359278,191.65556,819.10004
35.215805,111.62292,320.876
21.729374,463.1516,2301.697
27.281713,199.05487,836.2265
27.092829,207.86678,849.44214
21.689707,440.4632,2339.6387
21.822212,460.45883,2307.119
22.040398,432.54105,2219.908
34.996017,116.25316,340.39343
27.384848,205.88516,853.77765
27.43887,203.14226,856.81946
22.403732,418.21997,2162.007
22.133577,428.9036,2299.2478
21.894209,445.92892,2349.0962
21.875051,468.47415,2253.1833
21.657816,459.24792,2221.7065
27.386045,195.57233,821.8338
35.096287,114.887794,340.63333
35.02593,120.496346,343.875
21.677685,456.49054,2340.6487
21.997469,432.28833,2196.1267
35.161903,112.3908,328.34558
