accuracy,latency,memory
27.19249,212.5005,841.73596
35.317734,110.76407,321.4994
21.683355,459.55026,2360.6929
35.14062,114.87858,326.8951
35.32336,117.813385,345.3188
27.291882,202.90274,860.88434
22.087126,421.60928,2164.594
34.897804,126.045006,339.90796
35.025883,121.93146,353.46332
21.65758,443.10403,2318.7395
35.40254,108.61559,315.10513
21.614576,456.04303,2386.1082
21.518293,480.93192,2390.998
21.765738,444.52344,2299.1753
35.186478,114.5669,326.03464
35.184715,118.676704,338.65213
35.173286,119.00188,344.23416
35.376587,115.375534,339.42072
27.415428,188.42812,807.8404
21.980816,432.32852,2234.621
35.119152,113.452484,311.8453
35.207752,114.70246,318.12708
35.31042,122.644325,341.42422
35.108776,121.975845,344.92676
35.15576,125.846825,353.07132
27.278019,195.8382,816.0508
21.902657,472.19254,2320.317
22.040535,437.19937,2223.704
27.302746,191.18648,813.2494
34.933426,123.80786,340.56894
35.098705,114.803406,337.04803
35.38136,111.864006,323.14758
21.79484,458.47195,2302.3257
35.143776,113.6532,341.31207
27.35841,200.98865,830.49994
35.3082,122.198166,351.93732
27.177248,211.87836,862.41174
27.524986,190.72258,807.57153
35.093143,112.74196,324.4996
27.383944,192.45168,819.6707
27.172148,191.9067,827.79895
35.430943,103.25765,295.5564
35.077774,112.347336,320.59683
21.879396,467.74094,2314.1338
21.484882,476.80066,2378.7256
35.338543,121.44837,341.01715
21.86308,445.00366,2191.6677
27.39784,187.97679,804.77356
27.114033,203.63997,863.77625
35.169907,108.75366,315.01245
22.060202,419.40656,2157.5005
21.698267,443.88342,2315.5054
21.815044,448.32855,2310.4326
34.94228,123.157,344.52097
27.208979,194.2842,833.4814
27.26926,209.01263,831.2181
27.49272,197.5522,839.31995
21.876158,442.97995,2195.3552
22.01344,435.3624,2277.0334
21.815853,462.1418,2252.9324
35.225502,112.24064,332.26562
21.894672,466.94775,2305.6477
27.164034,202.6258,822.2786
35.29026,119.3229,339.23322
27.295828,193.30722,826.6239
27.325907,197.74716,810.49756
35.290497,112.20234,320.68088
35.236153,110.95071,313.89975
35.22765,115.71864,325.14978
21.70134,459.89185,2370.5146
27.033936,212.46759,861.6375
22.07681,421.0785,2177.953
27.57092,202.12086,819.6212
27.394064,193.64622,816.6134
35.338917,109.87202,328.15063
26.996801,213.2916,878.5393
27.18078,216.0742,867.73083
21.782217,448.8117,2343.698
27.553244,190.76161,797.9869
35.21551,110.854965,319.16876
21.681486,464.60526,2317.906
27.150917,204.29707,841.2632
27.10656,208.17462,843.24805
21.739481,449.13354,2321.5286
21.785877,458.08704,2255.3977
22.163666,433.43484,2197.873
34.82787,119.05452,343.4115
27.347614,212.7024,863.07544
27.424938,198.15181,834.3443
22.239023,415.64542,2200.197
22.172539,434.25592,2258.1238
21.866425,436.85013,2289.5764
21.729084,458.48532,2256.5522
21.723516,461.9217,2273.2393
27.21491,195.15355,827.51404
35.118977,114.91113,329.55283
34.921455,121.70249,337.1737
21.635649,454.1401,2355.777
21.923544,441.8001,2197.1401
35.18117,114.633064,314.1517
