accuracy,latency,memory
27.19249,24.797096,841.73596
35.317734,16.73328,321.4994
21.683355,40.516308,2360.6929
35.14062,18.103304,326.8951
35.32336,17.460161,345.3188
27.291882,24.196005,860.88434
22.087126,37.33515,2164.594
34.897804,19.183935,339.90796
35.025883,19.075346,353.46332
21.65758,40.255196,2318.7395
35.40254,16.165148,315.10513
21.614576,41.04665,2386.1082
21.518293,41.71832,2390.998
21.765738,39.74125,2299.1753
35.186478,17.81054,326.03464
35.184715,17.643867,338.65213
35.173286,19.180767,344.23416
35.376587,18.12278,339.42072
27.415428,21.947674,807.8404
21.980816,38.601078,2234.621
35.119152,17.696247,311.8453
35.207752,16.975414,318.12708
35.31042,18.1902,341.42422
35.108776,18.462694,344.92676
35.15576,19.559284,353.07132
27.278019,23.497005,816.0508
21.902657,41.316105,2320.317
22.040535,37.8168,2223.704
27.302746,22.438652,813.2494
34.933426,19.115837,340.56894
35.098705,17.993698,337.04803
35.38136,16.832325,323.14758
21.79484,39.46711,2302.3257
35.143776,17.328838,341.31207
27.35841,23.166546,830.49994
35.3082,18.40189,351.93732
27.177248,24.838665,862.41174
27.524986,22.174364,807.57153
35.093143,17.774515,324.4996
27.383944,22.968964,819.6707
27.172148,22.691732,827.79895
35.430943,16.886154,295.5564
35.077774,17.345587,320.59683
21.879396,40.06675,2314.1338
21.484882,40.748623,2378.7256
35.338543,17.92425,341.01715
21.86308,37.826252,2191.6677
27.39784,21.926563,804.77356
27.114033,23.698761,863.77625
35.169907,17.524588,315.01245
22.060202,37.198902,2157.5005
21.698267,39.521927,2315.5054
21.815044,40.601505,2310.4326
34.94228,19.437141,344.52097
27.208979,22.575624,833.4814
27.26926,24.569447,831.2181
27.49272,23.468922,839.31995
21.876158,38.368298,2195.3552
22.01344,37.37961,2277.0334
21.815853,38.288437,2252.9324
35.225502,16.911974,332.26562
21.894672,40.25539,2305.6477
27.164034,23.65778,822.2786
35.29026,18.241007,339.23322
27.295828,22.283175,826.6239
27.325907,23.129957,810.49756
35.290497,16.986952,320.68088
35.236153,18.031218,313.89975
35.22765,16.987469,325.14978
21.70134,41.11676,2370.5146
27.033936,24.689175,861.6375
22.07681,36.799576,2177.953
27.57092,23.034143,819.6212
27.394064,22.701809,816.6134
35.338917,17.226002,328.15063
26.996801,25.074554,878.5393
27.18078,25.003244,867.73083
21.782217,41.339977,2343.698
27.553244,22.4918,797.9869
35.21551,16.713524,319.16876
21.681486,39.806465,2317.906
27.150917,23.51771,841.2632
27.10656,24.438011,843.24805
21.739481,39.933548,2321.5286
21.785877,39.9196,2255.3977
22.163666,36.99704,2197.873
34.82787,18.84679,343.4115
27.347614,24.526272,863.07544
27.424938,23.387154,834.3443
22.239023,37.2211,2200.197
22.172539,37.895695,2258.1238
21.866425,39.24695,2289.5764
21.729084,40.555393,2256.5522
21.723516,40.344772,2273.2393
27.21491,22.709396,827.51404
35.118977,18.217438,329.55283
34.921455,18.36647,337.1737
21.635649,40.19288,2355.777
21.923544,37.918415,2197.1401
35.18117,17.197235,314.1517
