accuracy,latency,memory
27.189137,41.438667,842.9405
35.309017,25.625755,320.3033
21.682106,80.60668,2361.2888
35.14308,27.22363,326.2484
35.328796,27.391867,345.1541
27.285088,41.399456,859.9418
22.089876,78.47751,2165.3828
34.89074,28.255167,340.05386
35.02979,27.03087,353.9922
21.652094,80.35831,2319.0803
35.40578,24.894266,315.17053
21.617268,81.592705,2386.4624
21.52747,83.40991,2390.1548
21.758537,80.79127,2299.7773
35.185513,25.498602,324.04974
35.183674,27.02802,337.41318
35.174835,27.660479,343.82053
35.373306,27.575987,340.20004
27.42107,37.678123,808.5185
21.983847,76.91103,2233.3503
35.12536,26.504354,313.37427
35.20426,25.815575,317.6374
35.3139,28.753923,340.12338
35.112926,28.060247,343.51343
35.161854,29.107502,353.55923
27.283146,38.91417,813.94476
21.897806,83.668205,2321.0955
22.041828,79.001884,2223.1174
27.3064,39.027813,813.6442
34.92889,28.393522,341.6118
35.102165,26.303633,337.43637
35.385292,24.730347,323.8532
21.787706,80.34679,2301.029
35.136738,26.29195,339.75366
27.359503,39.68839,830.52924
35.304626,28.688606,353.2229
27.173428,40.84182,862.8065
27.532278,38.327274,808.71265
35.09966,24.997862,325.96506
27.398132,37.679523,819.6227
27.164972,39.052742,827.3717
35.43073,24.159073,294.48804
35.077446,25.515974,320.39365
21.873623,82.24115,2316.3225
21.479954,82.1784,2378.8135
35.33566,27.937757,341.88327
21.85656,80.456696,2193.2732
27.401575,39.19897,803.23376
27.112823,41.274975,863.69763
35.1627,25.840979,316.4038
22.057709,77.49001,2155.8477
21.692884,78.79705,2315.9355
21.822317,79.455284,2310.531
34.943096,28.52056,342.5162
27.20883,39.36754,834.8023
27.274487,41.688824,830.2817
27.486586,39.227337,838.62244
21.869366,78.77645,2195.0632
22.02167,78.8934,2278.6194
21.819624,78.8284,2252.5574
35.226322,26.31542,331.84344
21.896648,81.04713,2305.643
27.158876,40.82289,821.17755
35.29331,26.553864,339.95078
27.29487,38.153126,827.81647
27.32266,38.87871,813.5143
35.29069,25.619328,321.39352
35.23412,26.056555,314.45923
35.232895,26.570553,324.87106
21.708637,82.238686,2368.5557
27.033354,41.108215,862.7495
22.077478,78.14123,2176.377
27.557066,39.505703,819.8636
27.392881,38.197094,816.1135
35.34027,25.584257,327.2376
26.995779,42.412056,878.7293
27.178932,41.71901,868.4381
21.775604,81.12409,2344.1187
27.558859,38.704803,797.2608
35.21036,25.49707,320.3388
21.685072,80.93971,2318.8723
27.148241,40.427788,839.2552
27.106176,41.24667,843.07495
21.74156,79.89044,2322.9314
21.786324,79.950806,2254.4512
22.16611,78.44713,2197.4854
34.824673,27.109797,344.75647
27.34807,42.427174,865.0259
27.423605,40.24542,834.2089
22.232342,77.026596,2202.2004
22.174007,77.58688,2258.682
21.867943,79.178246,2288.9124
21.729534,80.714424,2257.7483
21.72889,80.72201,2273.0532
27.213295,39.18555,828.2414
35.118797,26.960644,328.12054
34.917255,26.90701,334.75677
21.634018,80.022194,2355.7473
21.919464,78.3448,2196.6887
35.187622,25.971731,313.7734
