accuracy,latency,memory
41.183052,5.3364806,146.09116
24.78628,10.388701,853.8882
25.740086,9.873221,815.80914
23.501514,11.510048,937.4342
40.93308,5.655927,155.37317
24.73026,10.7098675,816.28644
31.356415,7.5413175,362.36377
32.522762,6.853552,338.79822
24.96792,10.329946,855.0705
24.858791,10.773155,843.1469
32.604916,6.7620997,332.24725
40.386585,6.3666606,154.63853
31.320408,7.5042887,365.89032
24.232475,11.06943,880.8792
40.6611,5.8440824,152.95746
40.431248,6.679786,160.82889
23.832178,11.512608,923.4149
31.090712,7.7907033,365.85257
32.077377,7.7032776,358.98904
32.463657,6.6531253,338.36908
40.79548,5.7117887,150.66734
41.470505,4.9135065,139.89542
41.363667,5.165003,140.60956
31.481003,6.9534154,350.61148
32.745354,6.779822,337.32724
23.748938,10.85181,883.36035
24.253017,10.870894,870.74115
24.149769,11.702743,889.5519
41.395126,5.0973806,143.49335
40.565754,6.2440495,160.6829
32.908203,6.4009933,327.1447
25.051638,10.5373535,827.8449
23.18923,11.66922,939.9795
26.051908,9.739076,830.3125
24.890947,10.438909,822.2753
32.31169,6.6050315,341.07336
40.471874,5.9679685,155.20439
23.523872,10.992297,890.7529
25.201857,10.0922165,816.2548
25.03573,10.183676,851.3636
32.22086,7.020194,334.02856
25.52955,10.134675,847.50323
31.81206,7.2408824,344.03827
40.41749,6.187938,154.86244
23.625038,10.908349,910.7153
40.948433,5.743946,154.99167
24.343596,11.291089,875.9368
31.783693,7.2903233,358.5151
40.53151,6.170152,157.67421
40.48734,6.083911,155.77031
23.47052,11.27421,901.3473
31.848623,7.6040196,343.9976
25.63748,10.24281,789.6045
32.183037,7.547601,344.74222
41.001163,5.5748396,150.57498
41.564915,4.8884454,143.84514
31.91581,7.2680387,346.52747
32.027786,7.275235,347.28726
31.179506,8.024741,374.09326
23.524883,12.006457,909.5486
32.299076,6.873508,338.5134
26.080404,9.805639,804.726
24.772053,10.463868,844.0921
31.552536,7.5274396,360.71988
23.509596,11.469057,907.21484
25.672878,10.073589,790.2622
40.529575,6.067877,152.94278
23.136326,11.943207,935.5525
23.140173,12.127473,931.7882
32.75049,7.5679455,337.94806
40.172676,6.5763974,156.96391
25.18575,10.33048,803.4458
31.732857,6.9505177,348.2243
24.055317,11.402741,896.48645
31.471209,7.812691,365.78
32.114223,7.0544033,347.89627
25.900993,9.64152,793.09644
24.555902,10.5215,845.95087
31.373796,7.3064117,352.73676
40.138504,6.770751,160.7382
32.93516,6.536794,334.80392
23.850216,11.510725,901.145
40.7916,5.6710367,154.27876
26.0586,9.748346,785.8661
24.109781,11.032718,850.07465
31.838636,7.549271,359.1538
26.132763,9.967909,759.98413
24.434769,10.899803,876.34204
24.930841,10.41684,822.0542
23.644003,11.664279,885.3865
32.922306,6.670787,342.03113
24.914894,10.382395,890.15955
31.564247,7.44358,351.7461
23.892664,11.522719,889.2937
40.26614,6.298417,160.01271
23.80064,11.628832,905.309
32.676678,6.9071784,337.73767
40.803425,5.834429,151.63725
31.744448,7.329662,350.54294
33.238018,6.154704,337.52954
40.561382,6.062815,152.45572
24.016981,11.6780205,900.74805
31.877386,7.779353,355.63443
41.305824,5.294775,151.34422
24.163391,10.916534,858.7586
40.515602,5.9344606,156.22977
23.400309,11.443612,885.6286
24.804,10.271943,839.6201
23.308702,11.84166,920.9828
33.21356,6.769748,328.209
32.706398,6.4609275,344.82455
23.6407,11.08752,900.73267
32.757244,7.2074924,338.08597
40.621822,6.1048946,156.733
24.703474,10.501147,888.51215
41.10337,5.359663,145.33723
24.982136,10.417208,835.02606
40.437187,6.4332695,161.10725
25.437666,10.145404,856.22363
41.035496,5.475084,148.07773
41.24608,5.2116904,148.27768
32.26585,7.148033,352.21497
31.387327,7.2411327,356.39224
24.187668,10.906637,888.0638
24.478613,10.997649,845.8616
32.423573,6.665516,334.19226
24.353699,11.217275,841.5585
41.367046,5.1875153,145.34317
23.46534,11.670109,914.98627
25.797049,9.956436,788.91565
40.670338,5.6856813,153.01564
32.98929,6.5899954,327.10568
40.723297,5.7112985,151.03674
31.535254,7.495503,362.42838
40.596813,5.9357586,153.29614
25.79532,9.8036785,803.29456
25.11816,10.479508,819.13666
32.18341,7.4672422,347.60452
31.005672,8.156323,380.71878
40.423416,5.981224,156.47412
31.336874,7.7774134,359.485
26.417238,9.48321,734.04877
40.491257,6.0374107,159.28061
32.248272,6.881303,330.0593
40.44637,6.0387974,154.34131
41.17206,5.416767,149.0647
25.245626,10.399659,814.5208
41.473392,5.3241405,145.69527
32.553844,6.862024,334.82315
24.605894,10.641003,847.50543
23.533712,11.384832,903.5768
25.39287,10.008954,832.4655
40.23706,6.631143,161.45395
40.760174,6.0387297,156.60637
40.849133,5.753373,151.13358
31.422302,7.246702,358.1975
40.838985,5.9848447,159.80507
31.679039,7.712513,363.61426
40.566326,6.4611335,160.50066
24.58094,10.592599,871.786
23.863113,11.011559,872.55347
41.32429,5.1131725,146.12282
40.52522,5.792839,161.03815
24.752705,10.654251,847.8455
33.481594,6.406019,324.7378
32.31804,6.792982,345.92856
23.7008,11.275651,902.7601
31.541029,7.4486194,352.03976
41.21951,5.522757,148.54909
40.498703,5.9734488,154.35126
40.671688,5.7794065,156.02783
24.829592,10.494823,873.3686
24.063753,11.402981,867.95276
40.32373,6.1801953,156.39548
33.111168,6.6567445,340.15454
40.475018,6.0396023,156.08011
40.29838,6.2465262,161.57771
31.310957,7.482254,362.94763
32.292046,6.473162,337.0589
40.10242,6.514564,159.05078
23.3768,11.317089,916.2743
24.755167,10.4287195,841.9303
40.490112,6.152636,156.51523
33.31091,6.5669985,318.49316
40.902435,6.066989,155.5705
40.66459,5.915849,155.92561
40.8017,5.525448,151.47437
32.843735,6.358727,328.3045
31.583815,7.5644073,359.40363
40.976906,5.371638,149.35274
32.51282,6.843713,334.62552
24.79832,10.17256,818.05023
23.462408,11.155864,891.6218
40.161636,6.6897597,164.67583
40.934193,5.3481073,148.18098
24.536383,10.778458,857.5057
24.994556,10.72913,834.76917
24.870445,10.627917,852.51483
40.63799,6.248544,150.37599
32.54382,6.511515,343.4205
31.395142,7.9380736,363.95547
25.01418,10.552551,869.6725
32.210976,7.0048685,345.868
32.197227,7.0437884,341.98856
40.54776,5.947739,152.6644
23.337416,11.529675,893.9564
24.984375,10.440135,812.34406
31.2008,8.041486,375.7266
33.40811,6.648446,325.25034
24.662716,10.522821,845.56647
40.46178,6.3482275,157.99072
25.824434,10.020279,808.05865
31.476494,7.607623,364.04797
32.810905,6.5581656,332.89432
41.077473,5.4602056,145.48148
32.22348,7.255578,339.49994
31.582916,8.110234,362.51837
40.902786,5.395399,141.04907
32.17298,7.3546863,345.57626
31.88956,7.1310525,348.13425
23.926588,11.043551,881.60876
24.552137,10.494047,828.3179
24.391691,11.095339,845.961
41.096924,5.343815,147.08441
24.819588,10.645184,847.1664
32.21068,7.128594,341.15143
33.083828,6.355064,326.75558
40.962006,5.3205137,148.4782
23.343113,11.191617,935.1919
23.295635,11.914884,928.76984
23.766264,11.324482,907.881
24.451344,10.658779,862.56464
22.901031,12.142797,959.4575
24.164833,10.667335,858.56384
41.25142,5.4247975,147.3043
32.798298,6.605417,324.39694
25.151014,10.384637,840.14026
41.072697,5.531242,153.04855
40.676636,6.1484222,161.15822
40.96559,6.178418,151.95732
24.78175,11.053429,824.7878
31.754482,7.6057796,355.3216
40.60334,5.6396904,154.2142
33.343723,6.238994,329.95578
24.83276,10.291028,853.43604
33.072876,6.570726,331.82193
32.205902,7.255497,331.3772
31.985937,7.671622,360.904
23.810925,10.984406,863.7135
40.09842,6.4971905,164.67058
31.1432,7.7015424,366.0241
31.628405,8.006293,367.018
23.972416,10.897237,887.4417
41.209934,5.3656178,149.05202
40.093678,6.2038035,156.72241
40.303818,6.316429,166.0381
24.48281,10.703679,846.8397
40.27694,6.346878,161.08629
33.59402,6.1328397,321.9701
25.506147,10.409354,816.10535
31.874584,7.4165177,362.00458
31.4908,7.3815327,358.30948
31.966928,7.195298,341.5438
40.65719,5.694309,156.16113
40.330025,6.3886905,155.71199
41.409187,5.2388515,144.62915
31.979809,7.4780183,359.69824
40.185272,6.4817734,161.00482
32.092583,6.852314,350.75958
23.97923,11.312814,888.52875
23.932781,11.474328,870.4233
23.8244,11.184961,856.70996
25.792452,9.923803,799.67444
25.38024,9.9938755,810.16455
32.152203,7.199576,354.43152
23.93327,10.98351,868.4693
23.153233,11.733235,929.6646
40.667892,5.8354526,152.64226
24.491903,10.446054,829.65045
32.781807,6.6988153,335.4375
