accuracy,latency,memory
40.832397,5.5757637,160.30902
25.390348,10.171975,822.6765
25.510206,10.059566,803.7157
23.757454,11.477865,906.92926
40.775433,5.573194,159.1486
24.815035,10.759953,833.1555
31.637352,7.24112,351.37933
32.31446,6.9446826,349.15894
25.241837,10.193992,847.48456
25.382238,10.354155,815.25287
32.714085,6.6980414,339.6607
40.15838,6.448953,166.02753
31.604088,7.434843,364.5303
24.50534,10.811538,848.2656
40.40755,6.151415,163.72363
40.118496,6.4566503,167.19028
24.115387,11.074912,879.89246
31.653078,7.3935966,356.52313
31.951757,7.8730545,364.83334
32.600292,6.6841745,335.32892
40.628613,5.6827626,158.70709
41.019512,5.42729,158.44884
41.019512,5.3354073,157.78378
31.648119,7.124697,356.48645
32.48368,6.7575326,343.81287
24.277493,10.796275,875.6102
24.645317,10.743043,852.47125
23.953629,11.622022,870.022
40.986164,5.354984,158.48355
40.5395,6.043704,164.10251
32.7513,6.7107587,333.92084
24.658033,10.628207,851.28973
23.663696,11.569015,886.85913
25.923162,9.564417,816.6467
24.777258,10.592055,837.9973
32.43395,6.6535025,337.5838
40.221752,6.2002473,167.19028
24.103527,10.822414,853.51935
25.123976,10.215152,819.9693
25.277834,9.985237,833.9949
31.889608,7.138893,348.6199
25.87019,10.052794,804.8267
32.027397,7.1391387,350.27383
40.20469,6.2240496,163.72363
24.153416,10.700233,880.07416
40.75185,5.5908,158.48355
24.165905,11.236513,880.44196
31.621103,7.2978935,359.51947
40.30118,6.286898,164.37291
40.415756,6.0014973,165.28932
24.045849,10.959818,876.8091
31.794367,7.561994,358.45587
25.451103,9.985078,781.18823
32.026073,7.7468452,355.39304
40.63816,5.7553806,159.48964
40.92979,5.2404804,158.48355
31.74446,7.217769,357.4193
31.980303,7.3624635,351.74707
31.636734,7.8238845,371.0644
23.939611,11.593775,901.6235
32.50962,6.756142,342.90344
25.922768,9.991326,806.4171
25.410784,10.1499405,838.9319
31.586182,7.6649027,363.98816
23.992558,11.256403,869.2157
25.696274,10.260698,792.7406
40.31021,6.0338464,163.0948
23.624567,11.7609825,888.59424
23.548801,11.456288,901.7932
32.14307,7.7265472,357.53354
40.06613,6.515022,167.19028
25.439873,10.284974,795.7529
31.861519,7.125624,354.74518
24.573513,11.192466,859.4165
31.531685,7.6881523,360.89343
32.299435,6.9769187,342.5528
25.559095,9.876862,802.0367
25.053602,10.375269,821.207
31.580006,7.201036,357.58517
40.085384,6.344698,166.44974
32.628094,6.6428785,341.80313
23.97514,11.464312,898.6602
40.386337,5.888455,164.12657
25.631311,9.792003,802.829
24.569067,10.61596,830.4947
31.718006,7.77412,365.06522
25.56193,10.174514,768.9831
24.287827,11.198709,887.46277
24.77437,10.65713,842.66473
23.895067,11.557142,865.9675
33.23108,6.8873224,341.63766
25.41956,9.88565,855.76654
31.671412,7.2608976,351.2016
24.347109,11.101808,876.51135
40.17957,6.37848,167.11337
23.906107,11.502734,867.0722
32.46197,6.9734764,342.82327
40.368652,5.843095,162.35947
32.038578,7.1726937,349.54114
33.1259,6.4619536,337.2833
40.2213,6.277832,166.11086
24.21796,11.298864,866.42316
31.745066,7.55371,362.3122
40.968445,5.419446,158.90863
24.296957,10.776866,860.6016
40.257984,5.8519874,165.98474
23.991909,11.187503,843.63446
25.287033,10.142056,823.5442
23.728683,11.547684,887.6007
32.887527,6.569954,337.63855
32.928303,6.659846,338.49564
24.49454,10.854907,862.61487
32.255566,7.398125,359.07672
40.245857,6.1750894,165.28699
25.452755,10.09546,852.5587
40.8177,5.4601307,158.90863
25.43126,10.16208,833.09735
40.26653,6.3442607,166.02986
25.471643,10.1392765,822.54974
40.669743,5.627021,160.65005
40.989185,5.410821,158.00732
31.921978,7.2586484,361.87698
31.807268,7.122407,349.8379
24.42692,10.714425,864.0148
24.635769,10.780617,831.4204
32.22626,6.855229,341.27124
24.755318,11.093586,838.2785
41.04921,5.4029775,157.78378
23.696796,11.37752,891.139
25.679571,10.1074095,793.40955
40.493225,5.7342844,161.7749
32.715816,6.7901845,337.34787
40.45585,5.798045,160.61449
31.546555,7.475965,361.4158
40.37356,6.114422,166.45877
25.710077,10.076696,820.8881
25.52521,10.326089,786.3941
31.864523,7.8886604,356.65335
31.344818,7.918191,368.1285
40.35073,5.9407864,163.38475
31.612616,7.572743,356.42523
25.895617,9.730191,763.96246
40.397045,5.9951286,160.41295
31.863934,7.1875157,349.9083
40.329056,6.245256,165.57074
40.887993,5.4100666,158.48355
25.325974,9.978883,812.4818
41.02908,5.5549574,158.90863
32.298103,6.8565383,343.25446
24.941486,10.68529,854.7573
23.96523,11.4371,875.84015
25.466335,10.11057,836.59656
40.126366,6.399723,166.8514
40.542595,6.0088515,163.66978
40.678207,5.744186,159.13217
31.810743,7.227958,351.19644
40.43519,6.0289464,164.08379
31.844772,7.7793436,364.0689
40.39753,6.342166,162.43996
25.461954,10.289506,847.17065
23.922403,11.107765,868.7106
40.918457,5.2859178,158.48355
40.563023,6.015946,164.61487
25.29342,10.42661,824.8184
33.22864,6.57861,334.95325
32.53332,6.8702602,345.1162
23.972418,11.353879,894.1345
31.694647,7.3888297,349.47498
40.935707,5.359207,158.90863
40.206093,6.3147473,166.44974
40.234653,6.0298862,165.28699
25.341793,10.157581,836.7746
23.755445,11.40622,872.0977
40.36579,5.9586124,161.34982
33.068264,6.5603228,341.54974
40.250973,6.191943,166.23236
40.22803,6.243321,162.56088
31.671803,7.2181177,360.3798
32.18747,6.9538417,349.39447
40.19524,6.251882,163.94783
24.036722,11.030979,879.90936
